A_Municipality,A_State,Z_Municipality,Z_State
Manchester,,Dublin,
London,,Paris,
Slough,,Paris,
London,,Amsterdam,
London,,Lille,
Tokyo,,Hong Kong,
Hong Kong,,Singapore,
Hong Kong,,Sydney,
Singapore,,Sydney,
Tokyo,,Singapore,
New York,NY,London,
New York,NY,Slough,
New York,NY,Paris,
New York,NY,Manchester,
Ashburn,VA,Paris,
Seattle,WA,Tokyo,
Seattle,WA,Sydney,
Hillsboro,OR,Tokyo,
Los Angeles,CA,Tokyo,
Los Angeles,CA,Hong Kong,
Los Angeles,CA,Sydney,
San Jose,CA,Singapore,
New York,NY,Sao Paulo,
Tuckerton,NJ,Sao Paulo,
