A_Municipality,A_State,Z_Municipality,Z_State
Billingsley,AL,Atlanta,GA
Birmingham,AL,Atlanta,GA
Phoenix,AZ,Goodyear,AZ
Phoenix,AZ,Tucson,AZ
Tucson,AZ,El Paso,TX
Hayward,CA,Sunnyvale,CA
Los Angeles,CA,San Bernardino,CA
Los Angeles,CA,Tustin,CA
Riverside,CA,San Bernardino,CA
Sacramento,CA,Emeryville,CA
Sacramento,CA,Modesto,CA
Sacramento,CA,San Francisco,CA
San Bernardino,CA,Phoenix,AZ
San Bernardino,CA,Las Vegas,NV
San Diego,CA,Phoenix,AZ
San Diego,CA,Riverside,CA
San Francisco,CA,Hayward,CA
San Jose,CA,San Luis Obispo,CA
San Luis Obispo,CA,Los Angeles,CA
Sunnyvale,CA,San Jose,CA
Tustin,CA,San Diego,CA
Denver,CO,Wichita,KS
Denver,CO,Kansas City,MO
Denver,CO,Omaha,NE
Denver,CO,Albuquerque,NM
Denver,CO,Stratford,TX
Stamford,CT,New York,NY
Fort Meyers,FL,Miami,FL
Jacksonville,FL,Orlando,FL
Jacksonville,FL,Augusta,GA
Orlando,FL,Miami,FL
Orlando,FL,Tampa,FL
Tallahassee,FL,Jacksonville,FL
Tampa,FL,Fort Meyers,FL
Atlanta,GA,Tallahassee,FL
Atlanta,GA,Augusta,GA
Davenport,IA,Chicago,IL
Des Moines,IA,Davenport,IA
Des Moines,IA,Kansas City,MO
Des Moines,IA,Omaha,NE
Boise,ID,Ogden,UT
Chicago,IL,Indianapolis,IN
Chicago,IL,South Bend,IN
Chicago,IL,St. Louis,MO
Chicago,IL,Madison,WI
Indianapolis,IN,St. Louis,MO
South Bend,IN,Kalamazoo,MI
South Bend,IN,Toledo,OH
Boston,MA,Stamford,CT
Cambridge,MA,Boston,MA
Baltimore,MD,Ashburn,VA
Detroit,MI,Toledo,OH
Kalamazoo,MI,Detroit,MI
Minneapolis,MN,Des Moines,IA
Minneapolis,MN,Milwaukee,WI
St. Louis,MO,Kansas City,MO
St. Louis,MO,Nashville,TN
Missoula,MT,Cheyenne,WY
Charlotte,NC,Atlanta,GA
Charlotte,NC,Augusta,GA
Charlotte,NC,Nashville,TN
Raleigh,NC,Charlotte,NC
Newark,NJ,Philadelphia,PA
Tuckerton,NJ,Philadelphia,PA
Wall,NJ,Tuckerton,NJ
Albuquerque,NM,El Paso,TX
Albuquerque,NM,Stratford,TX
Reno,NV,Sacramento,CA
Albany,NY,Stamford,CT
Albany,NY,Cambridge,MA
Buffalo,NY,Albany,NY
New York,NY,Newark,NJ
New York,NY,Wall,NJ
Akron,OH,Columbus,OH
Cincinnati,OH,Indianapolis,IN
Cleveland,OH,Buffalo,NY
Cleveland,OH,Akron,OH
Cleveland,OH,Pittsburgh,PA
Columbus,OH,Cincinnati,OH
Toledo,OH,Akron,OH
Toledo,OH,Cleveland,OH
Oklahoma City,OK,Tulsa,OK
Oklahoma City,OK,Fort Worth,TX
Tulsa,OK,Kansas City,MO
Tulsa,OK,Fort Worth,TX
Portland,OR,Sacramento,CA
Portland,OR,Bandon,OR
Philadelphia,PA,Baltimore,MD
Philadelphia,PA,Pittsburgh,PA
Memphis,TN,Birmingham,AL
Memphis,TN,Atlanta,GA
Nashville,TN,Atlanta,GA
Nashville,TN,Memphis,TN
Austin,TX,Houston,TX
Corpus Christi,TX,Houston,TX
Dallas,TX,Memphis,TN
Dallas,TX,Houston,TX
El Paso,TX,San Antonio,TX
Fort Worth,TX,Austin,TX
Fort Worth,TX,Dallas,TX
Harlingen,TX,Corpus Christi,TX
Houston,TX,Billingsley,AL
Houston,TX,Tallahassee,FL
Laredo,TX,McAllen,TX
McAllen,TX,Harlingen,TX
San Antonio,TX,Austin,TX
San Antonio,TX,Houston,TX
San Antonio,TX,Laredo,TX
Stratford,TX,Oklahoma City,OK
Stratford,TX,Tulsa,OK
Ogden,UT,Salt Lake City,UT
Ogden,UT,Cheyenne,WY
Salt Lake City,UT,Denver,CO
Salt Lake City,UT,Las Vegas,NV
Salt Lake City,UT,Reno,NV
Ashburn,VA,Herndon,VA
Herndon,VA,McLean,VA
McLean,VA,Baltimore,MD
McLean,VA,Richmond,VA
Richmond,VA,Raleigh,NC
Richmond,VA,Norfolk,VA
Seattle,WA,Portland,OR
Seattle,WA,Yakima,WA
Yakima,WA,Boise,ID
Yakima,WA,Missoula,MT
Madison,WI,Milwaukee,WI
Milwaukee,WI,Chicago,IL
Cheyenne,WY,Denver,CO
Cheyenne,WY,Omaha,NE
