A_Municipality,A_State,Z_Municipality,Z_State
Birmingham,AL,Birmingham,AL
Birmingham,AL,Atlanta,GA
Dothan,AL,Tallahassee,FL
Mobile,AL,Dothan,AL
Little Rock,AR,Memphis,TN
Phoenix,AZ,Phoenix,AZ
Phoenix,AZ,Tucson,AZ
Tucson,AZ,Tucson,AZ
Tucson,AZ,El Paso,TX
Bakersfield,CA,Los Angeles,CA
Los Angeles,CA,Phoenix,AZ
Los Angeles,CA,Los Angeles,CA
Los Angeles,CA,San Diego,CA
Los Angeles,CA,Las Vegas,NV
Palo Alto,CA,San Jose,CA
Sacramento,CA,Bakersfield,CA
Sacramento,CA,Sacramento,CA
Sacramento,CA,San Francisco,CA
San Diego,CA,San Diego,CA
San Francisco,CA,Palo Alto,CA
San Francisco,CA,San Francisco,CA
San Jose,CA,Los Angeles,CA
San Jose,CA,San Jose,CA
Colorado Springs,CO,Amarillo,TX
Denver,CO,Colorado Springs,CO
Denver,CO,Denver,CO
Grand Junction,CO,Denver,CO
Washington,DC,Ashburn,VA
Washington,DC,Richmond,VA
Jacksonville,FL,Jacksonville,FL
Jacksonville,FL,Orlando,FL
Miami,FL,Miami,FL
Orlando,FL,Miami,FL
Orlando,FL,Orlando,FL
Orlando,FL,Tampa,FL
Tallahassee,FL,Jacksonville,FL
Tallahassee,FL,Tallahassee,FL
Tampa,FL,Miami,FL
Tampa,FL,Tampa,FL
Atlanta,GA,Tallahassee,FL
Atlanta,GA,Atlanta,GA
Atlanta,GA,Augusta,GA
Augusta,GA,Augusta,GA
Augusta,GA,Charleston,SC
Savannah,GA,Jacksonville,FL
Davenport,IA,Davenport,IA
Davenport,IA,Chicago,IL
Des Moines,IA,Davenport,IA
Des Moines,IA,Des Moines,IA
Des Moines,IA,Chicago,IL
Des Moines,IA,Omaha,NE
Boise,ID,Boise,ID
Boise,ID,Twin Falls,ID
Twin Falls,ID,Salt Lake City,UT
Bloomington,IL,St. Louis,MO
Chicago,IL,Bloomington,IL
Chicago,IL,Chicago,IL
Chicago,IL,Indianapolis,IN
Chicago,IL,Toledo,OH
Indianapolis,IN,Indianapolis,IN
Indianapolis,IN,Louisville,KY
Indianapolis,IN,Cincinnati,OH
Louisville,KY,Lexington,KY
Louisville,KY,Nashville,TN
New Orleans,LA,Mobile,AL
Shreveport,LA,Jackson,MS
Minneapolis,MN,Des Moines,IA
Minneapolis,MN,Chicago,IL
Minneapolis,MN,Minneapolis,MN
Columbia,MO,St. Louis,MO
Kansas City,MO,Columbia,MO
Kansas City,MO,Kansas City,MO
Kansas City,MO,St. Louis,MO
Kansas City,MO,Tulsa,OK
St. Louis,MO,Indianapolis,IN
St. Louis,MO,Louisville,KY
St. Louis,MO,St. Louis,MO
St. Louis,MO,Memphis,TN
Jackson,MS,Birmingham,AL
Charlotte,NC,Atlanta,GA
Charlotte,NC,Augusta,GA
Charlotte,NC,Charlotte,NC
Lincoln,NE,Kansas City,MO
Omaha,NE,Lincoln,NE
Omaha,NE,Omaha,NE
Newark,NJ,Newark,NJ
Newark,NJ,Wall,NJ
Wall,NJ,Wall,NJ
Carlsbad,NM,Odessa,TX
Las Vegas,NV,Phoenix,AZ
Las Vegas,NV,Las Vegas,NV
Las Vegas,NV,Salt Lake City,UT
Reno,NV,Sacramento,CA
Reno,NV,Reno,NV
Reno,NV,Salt Lake City,UT
Albany,NY,Albany,NY
Albany,NY,New York,NY
Buffalo,NY,Albany,NY
Buffalo,NY,Buffalo,NY
New York,NY,Newark,NJ
New York,NY,New York,NY
New York,NY,Philadelphia,PA
Cincinnati,OH,Louisville,KY
Cincinnati,OH,Cincinnati,OH
Cleveland,OH,Buffalo,NY
Cleveland,OH,Cleveland,OH
Cleveland,OH,Pittsburgh,PA
Toledo,OH,Cleveland,OH
Toledo,OH,Toledo,OH
Oklahoma City,OK,Oklahoma City,OK
Oklahoma City,OK,Dallas,TX
Oklahoma City,OK,Wichita Falls,TX
