Municipality,State,Country,Latitude,Longitude
Abilene,TX,United States,32.4487,-99.7331
Akron,OH,United States,41.0814,-81.5190
Albany,NY,United States,42.6526,-73.7562
Albuquerque,NM,United States,35.0844,-106.6504
Amarillo,TX,United States,35.2220,-101.8313
Andover,MA,United States,42.6583,-71.1368
Ashburn,VA,United States,39.0438,-77.4875
Atlanta,GA,United States,33.7490,-84.3880
Atmore,AL,United States,31.0238,-87.4936
Austin,TX,United States,30.2672,-97.7431
Bakersfield,CA,United States,35.3733,-119.0187
Baltimore,MD,United States,39.2904,-76.6122
Baton Rouge,LA,United States,30.4515,-91.1871
Belfield,ND,United States,46.8836,-103.1996
Bend,OR,United States,44.0582,-121.3153
Billings,MT,United States,45.7870,-108.5000
Binghamton,NY,United States,42.0987,-75.9180
Birmingham,AL,United States,33.5186,-86.8025
Bismarck,ND,United States,46.8080,-100.7840
Bloomington,IL,United States,40.4842,-88.9937
Boca Raton,FL,United States,26.3683,-80.1289
Boise,ID,United States,43.6150,-116.2023
Boston,MA,United States,42.3601,-71.0589
Bowie,TX,United States,33.5590,-97.8486
Bryan,TX,United States,30.6744,-96.3700
Buffalo,NY,United States,42.8864,-78.8784
Burbank,CA,United States,34.1808,-118.3090
Cedar Rapids,IA,United States,41.9779,-91.6656
Champaign,IL,United States,40.1164,-88.2434
Charleston,SC,United States,32.7765,-79.9311
Charleston,WV,United States,38.3498,-81.6326
Charlotte,NC,United States,35.2271,-80.8431
Charlottesville,VA,United States,38.0293,-78.4767
Cheyenne,WY,United States,41.1400,-104.8202
Chicago,IL,United States,41.8781,-87.6298
Cincinnati,OH,United States,39.1031,-84.5120
Cleveland,OH,United States,41.4993,-81.6944
Clinton,IA,United States,41.8444,-90.1887
Colorado Springs,CO,United States,38.8339,-104.8214
Columbus,OH,United States,39.9612,-82.9988
Corpus Christi,TX,United States,27.8006,-97.3964
Dallas,TX,United States,32.7767,-96.7970
Denver,CO,United States,39.7392,-104.9903
Des Moines,IA,United States,41.5868,-93.6091
Detroit,MI,United States,42.3314,-83.0458
Eau Claire,WI,United States,44.8113,-91.4985
El Paso,TX,United States,31.7619,-106.4850
Erie,PA,United States,42.1292,-80.0851
Everett,WA,United States,47.9790,-122.2021
Fairfax,VA,United States,38.8462,-77.3064
Fargo,ND,United States,46.8770,-96.7890
Flint,MI,United States,43.0125,-83.6875
Fort Myers,FL,United States,26.6406,-81.8723
Fort Worth,TX,United States,32.7555,-97.3308
Fresno,CA,United States,36.7378,-119.7871
Grand Island,NE,United States,40.9264,-98.3420
Grand Rapids,MI,United States,42.9634,-85.6681
Guadalajara,MX,United States,20.6597,-103.3496
Hamlet,NC,United States,34.8853,-79.6948
Harrisburg,PA,United States,40.2732,-76.8867
Houston,TX,United States,29.7604,-95.3698
Huntsville,AL,United States,34.7304,-86.5861
Indianapolis,IN,United States,39.7684,-86.1581
Jackson,MS,United States,32.2988,-90.1848
Jacksonville,FL,United States,30.3322,-81.6557
Jefferson City,MO,United States,38.5767,-92.1735
Kansas City,MO,United States,39.0997,-94.5786
Knoxville,TN,United States,35.9606,-83.9207
Lansing,MI,United States,42.7325,-84.5555
Las Cruces,NM,United States,32.3199,-106.7637
Las Vegas,NV,United States,36.1699,-115.1398
Lexington,KY,United States,38.0406,-84.5037
Lincoln,NE,United States,40.8136,-96.7026
Little Rock,AR,United States,34.7465,-92.2896
Livermore,CA,United States,37.6819,-121.7680
Los Angeles,CA,United States,34.0522,-118.2437
Los Osos,CA,United States,35.3111,-120.8324
Louisville,KY,United States,38.2527,-85.7585
Lubbock,TX,United States,33.5779,-101.8552
Madison,WI,United States,43.0731,-89.4012
Martinsburg,WV,United States,39.4562,-77.9639
McAllen,TX,United States,26.2034,-98.2300
Medford,OR,United States,42.3265,-122.8756
Memphis,TN,United States,35.1495,-90.0490
Mexico City,MX,United States,19.4326,-99.1332
Miami,FL,United States,25.7617,-80.1918
Midland,TX,United States,31.9974,-102.0779
Milwaukee,WI,United States,43.0389,-87.9065
Minneapolis,MN,United States,44.9778,-93.2650
Missoula,MT,United States,46.8721,-113.9966
Mobile,AL,United States,30.6954,-88.0399
Monterrey,MX,United States,25.6866,-100.3161
Montgomery,AL,United States,32.3668,-86.3000
Myrtle Beach,SC,United States,33.6891,-78.8867
Nashville,TN,United States,36.1627,-86.7816
New Orleans,LA,United States,29.9511,-90.0715
New York,NY,United States,40.7128,-74.0060
Newark,NJ,United States,40.7357,-74.1724
Oakland,CA,United States,37.8044,-122.2712
Okarche,OK,United States,35.7281,-97.9762
Oklahoma City,OK,United States,35.4676,-97.5164
Omaha,NE,United States,41.2565,-95.9345
Orlando,FL,United States,28.5383,-81.3792
Oroville,CA,United States,39.5138,-121.5564
Palm Springs,CA,United States,33.8303,-116.5453
Pensacola,FL,United States,30.4213,-87.2169
Philadelphia,PA,United States,39.9526,-75.1652
Phoenix,AZ,United States,33.4484,-112.0740
Pittsburgh,PA,United States,40.4406,-79.9959
Portland,OR,United States,45.5152,-122.6765
Providence,RI,United States,41.8240,-71.4128
Queretaro,MX,United States,20.5888,-100.3899
Raleigh,NC,United States,35.7796,-78.6382
Reno,NV,United States,39.5296,-119.8138
Rialto,CA,United States,34.1064,-117.3703
Richmond,VA,United States,37.5407,-77.4360
Roanoke,VA,United States,37.2710,-79.9414
Rochester,NY,United States,43.1566,-77.6088
Sacramento,CA,United States,38.5816,-121.4944
Salt Lake City,UT,United States,40.7608,-111.8910
San Antonio,TX,United States,29.4241,-98.4936
San Diego,CA,United States,32.7157,-117.1611
San Francisco,CA,United States,37.7749,-122.4194
Santa Barbara,CA,United States,34.4208,-119.6982
Santa Clara,CA,United States,37.3541,-121.9552
Scranton,PA,United States,41.4090,-75.6624
Seattle,WA,United States,47.6062,-122.3321
Shreveport,LA,United States,32.5252,-93.7502
South Bend,IN,United States,41.6764,-86.2500
Spokane,WA,United States,47.6588,-117.4260
Springfield,IL,United States,39.7817,-89.6501
Springfield,MA,United States,42.1015,-72.5898
St Cloud,MN,United States,45.5579,-94.1632
St. Louis,MO,United States,38.6270,-90.1994
Stamford,CT,United States,41.0534,-73.5387
Stockton,CA,United States,37.9577,-121.2908
Syracuse,NY,United States,43.0481,-76.1474
Tacoma,WA,United States,47.2529,-122.4443
Tallahassee,FL,United States,30.4383,-84.2807
Tampa,FL,United States,27.9506,-82.4572
Toledo,OH,United States,41.6528,-83.5552
Tucson,AZ,United States,32.2226,-110.9747
Tulsa,OK,United States,36.1540,-95.9928
Van Buren,AR,United States,35.4365,-94.3483
Ventura,CA,United States,34.2746,-119.2290
Virginia Beach,VA,United States,36.8529,-75.9780
Waco,TX,United States,31.5493,-97.1467
Washington,DC,United States,38.9072,-77.0369
Wenatchee,WA,United States,47.4235,-120.3103
West Palm Beach,FL,United States,26.7153,-80.0534
Wichita,KS,United States,37.6872,-97.3301
Wilmington,DE,United States,39.7459,-75.5466
Winston Salem,NC,United States,36.0999,-80.2442
Worcester,MA,United States,42.2626,-71.8023
