Municipality,State,Country,Latitude,Longitude
Akron,OH,United States,41.0814,-81.5190
Albany,GA,United States,31.5785,-84.1557
Albany,NY,United States,42.6526,-73.7562
Albuquerque,NM,United States,35.0844,-106.6504
Amarillo,TX,United States,35.2220,-101.8313
Amsterdam,,Netherlands,52.3731,4.8925
Anaheim,CA,United States,33.8366,-117.9143
Anderson,CA,United States,40.4482,-122.2978
Anderson,IN,United States,40.1053,-85.6803
Ashburn,VA,United States,39.0438,-77.4875
Atlanta,GA,United States,33.7490,-84.3880
Aurora,CO,United States,39.7294,-104.8319
Aurora,IL,United States,41.7606,-88.3201
Austin,TX,United States,30.2672,-97.7431
Baltimore,MD,United States,39.2904,-76.6122
Barstow,CA,United States,34.8958,-117.0173
Beatty,OR,United States,42.4376,-121.2778
Beaverton,OR,United States,45.4871,-122.8037
Bellevue,WA,United States,47.6101,-122.2015
Bend,OR,United States,44.0582,-121.3153
Bergamo,,Italy,45.7567,9.7542
Berlin,,Germany,52.5174,13.3951
Besancon,,France,47.2380,6.0244
Billings,MT,United States,45.7870,-108.5000
Birmingham,,United Kingdom,52.4949,-1.8518
Bismarck,ND,United States,46.8080,-100.7840
Bluffdale,UT,United States,40.4894,-111.9388
Boardman,OR,United States,45.8398,-119.7003
Boise,ID,United States,43.6150,-116.2023
Bordeaux,,France,44.8412,-0.5800
Boston,MA,United States,42.3601,-71.0589
Bradford,,United Kingdom,53.7944,-1.7519
Bristol,,United Kingdom,51.4538,-2.5973
Brussels,,Belgium,50.8467,4.3525
Buffalo,NY,United States,42.8864,-78.8784
Burns,OR,United States,43.5863,-118.6943
Casper,WY,United States,42.8666,-106.3131
Centennial,CO,United States,39.5807,-104.8772
Chandler,AZ,United States,33.3062,-111.8413
Charlotte,NC,United States,35.2271,-80.8431
Cheyenne,WY,United States,41.1400,-104.8202
Chicago,IL,United States,41.8781,-87.6298
Cleveland,OH,United States,41.4993,-81.6944
Clinton,MS,United States,32.3415,-90.3218
Clinton,TN,United States,36.1126,-84.1296
Coalville,UT,United States,40.9180,-111.3994
Colorado Springs,CO,United States,38.8339,-104.8214
Columbus,OH,United States,39.9612,-82.9988
Cut Bank,MT,United States,48.6333,-112.3261
Dallas,TX,United States,32.7767,-96.7970
Dayton,OH,United States,39.7589,-84.1916
Denver,CO,United States,39.7392,-104.9903
Des Moines,IA,United States,41.5868,-93.6091
Dublin,,Ireland,53.3494,-6.2606
Dusseldorf,,Germany,51.2254,6.7763
Edinburgh,,United Kingdom,55.9533,-3.1884
El Paso,TX,United States,31.7619,-106.4850
Elk Grove Village,IL,United States,42.0039,-87.9706
Englewood,CO,United States,39.6478,-104.9878
Eugene,OR,United States,44.0521,-123.0868
Everett,WA,United States,47.9790,-122.2021
Fargo,ND,United States,46.8770,-96.7890
Fort Belvoir,VA,United States,38.7095,-77.1461
Fort Wayne,IN,United States,41.0793,-85.1394
Fort Worth,TX,United States,32.7555,-97.3308
Frankfort,IN,United States,40.2797,-86.5111
Frankfurt,,Germany,50.1106,8.6821
Franklin Park,IL,United States,41.9353,-87.8653
Frederick,MD,United States,39.4143,-77.4105
Fremont,CA,United States,37.5485,-121.9886
Garfield Heights,OH,United States,41.4170,-81.6054
Geneva,,Switzerland,46.2018,6.1466
Glasgow,,United Kingdom,55.8612,-4.2502
Grand Junction,CO,United States,39.0639,-108.5506
Grand Rapids,MI,United States,42.9634,-85.6681
Great Falls,MT,United States,47.5070,-111.3000
Helena,MT,United States,46.5890,-112.0390
Henderson,CO,United States,39.9183,-104.8772
Hillsboro,OR,United States,45.5229,-122.9898
Hong Kong,,Hong Kong,22.2818,114.1583
Houston,TX,United States,29.7604,-95.3698
Indianapolis,IN,United States,39.7684,-86.1581
Irvine,CA,United States,33.6846,-117.8265
Jacksonville,FL,United States,30.3322,-81.6557
Jasper,OR,United States,43.9926,-122.9001
Jersey City,NJ,United States,40.7178,-74.0431
Kalama,WA,United States,46.0093,-122.8443
Kansas City,MO,United States,39.0997,-94.5786
Keenesburg,CO,United States,40.1083,-104.5191
Kent,WA,United States,47.3809,-122.2348
Lansing,MI,United States,42.7325,-84.5555
Laredo,TX,United States,27.5306,-99.5075
Las Vegas,NV,United States,36.1699,-115.1398
Laurel,MT,United States,45.6691,-108.7710
Leeds,,United Kingdom,53.7974,-1.5438
Leeds,AL,United States,33.5479,-86.5444
Leicester,,United Kingdom,52.6362,-1.1332
Lille,,France,50.6366,3.0635
Lima,OH,United States,40.7426,-84.1052
Linden,NJ,United States,40.6220,-74.2446
Lithia Springs,GA,United States,33.7943,-84.6635
Little Hocking,OH,United States,39.2851,-81.7090
Lockport,NY,United States,43.1697,-78.6911
London,,United Kingdom,51.5074,-0.1278
Los Angeles,CA,United States,34.0522,-118.2437
Los Osos,CA,United States,35.3111,-120.8324
Lubbock,TX,United States,33.5779,-101.8552
Luxembourg,,Luxembourg,49.6011,6.0640
Lyon,,France,45.7578,4.8320
Macon,GA,United States,32.8407,-83.6324
Madison,WI,United States,43.0731,-89.4012
Madrid,,Spain,40.4168,-3.7035
Manasquan,NJ,United States,40.1257,-74.0490
Manchester,,United Kingdom,53.4795,-2.2451
Mankato,MN,United States,44.1636,-93.9994
Marion,IN,United States,40.5584,-85.6591
Marseille,,France,43.2964,5.3778
McAllen,TX,United States,26.2034,-98.2300
McLean,VA,United States,38.9339,-77.1773
Memphis,TN,United States,35.1495,-90.0490
Metz,,France,49.1197,6.1764
Miami,FL,United States,25.7617,-80.1918
Midland,TX,United States,31.9974,-102.0779
Milan,,Italy,45.4642,9.1896
Milton Keynes,,United Kingdom,52.0407,-0.7594
Minneapolis,MN,United States,44.9778,-93.2650
Missoula,MT,United States,46.8721,-113.9966
Modesto,CA,United States,37.6391,-120.9969
Montgomery,TX,United States,30.3877,-95.6963
Montpellier,,France,43.6112,3.8767
Monument,CO,United States,39.0917,-104.8722
Mt Prospect,IL,United States,42.0664,-87.9373
Nancy,,France,48.6937,6.1834
Nantes,,France,47.2186,-1.5541
Nashua,NH,United States,42.7654,-71.4676
Nashville,TN,United States,36.1627,-86.7816
New Orleans,LA,United States,29.9511,-90.0715
New York,NY,United States,40.7128,-74.0060
Newark,NJ,United States,40.7357,-74.1724
Newcastle,,United Kingdom,54.9738,-1.6132
Nogales,AZ,United States,31.3404,-110.9343
Oak Brook,IL,United States,41.8350,-87.9290
Oakland,CA,United States,37.8044,-122.2712
Ogden,UT,United States,41.2230,-111.9738
Olympia,WA,United States,47.0379,-122.9007
Omaha,NE,United States,41.2565,-95.9345
Orlando,FL,United States,28.5383,-81.3792
Owatonna,MN,United States,44.0840,-93.2260
Owings Mills,MD,United States,39.4196,-76.7802
Palmdale,CA,United States,34.5794,-118.1165
Palo Alto,CA,United States,37.4419,-122.1430
Paris,,France,48.8535,2.3484
Pasco,WA,United States,46.2396,-119.1006
Philadelphia,PA,United States,39.9526,-75.1652
Phoenix,AZ,United States,33.4484,-112.0740
Pittsburgh,PA,United States,40.4406,-79.9959
Plano,TX,United States,33.0198,-96.6989
Pocatello,ID,United States,42.8713,-112.4455
Ponchatoula,LA,United States,30.4385,-90.4418
Port Matilda,PA,United States,40.8009,-78.0508
Portland,OR,United States,45.5152,-122.6765
Preston,,United Kingdom,53.7593,-2.6993
Providence,RI,United States,41.8240,-71.4128
Quincy,WA,United States,47.2343,-119.8526
Rancho Cordova,CA,United States,38.5891,-121.3027
Redmond,WA,United States,47.6740,-122.1215
Reno,NV,United States,39.5296,-119.8138
Reston,VA,United States,38.9587,-77.3570
Richmond,VA,United States,37.5407,-77.4360
Roanoke,LA,United States,30.2566,-92.7440
Rock Springs,WY,United States,41.5875,-109.2029
Rotterdam,,Netherlands,51.9244,4.4778
Sacramento,CA,United States,38.5816,-121.4944
Salem,OR,United States,44.9429,-123.0351
Salt Lake City,UT,United States,40.7608,-111.8910
San Angelo,TX,United States,31.4638,-100.4370
San Antonio,TX,United States,29.4241,-98.4936
San Diego,CA,United States,32.7157,-117.1611
San Francisco,CA,United States,37.7749,-122.4194
San Jose,CA,United States,37.3382,-121.8863
Santa Barbara,CA,United States,34.4208,-119.6982
Santa Clara,CA,United States,37.3541,-121.9552
Sao Paulo,,Brazil,-23.5507,-46.6334
Seattle,WA,United States,47.6062,-122.3321
Secaucus,NJ,United States,40.7895,-74.0565
Shedd,OR,United States,44.4534,-123.1084
Shoshone,ID,United States,42.9357,-114.4060
Silver Plume,CO,United States,39.6938,-105.7278
Singapore,,Singapore,1.3571,103.8195
Sioux City,IA,United States,42.4999,-96.4003
Slough,,United Kingdom,51.5111,-0.5941
Smyrna,GA,United States,33.8840,-84.5144
Somerset,NJ,United States,40.4976,-74.4884
South Bend,IN,United States,41.6764,-86.2500
Southfield,MI,United States,42.4734,-83.2219
Spokane,WA,United States,47.6588,-117.4260
Spring,TX,United States,30.0799,-95.4172
Springville,UT,United States,40.1652,-111.6108
St. George,UT,United States,37.0965,-113.5684
St. Louis,MO,United States,38.6270,-90.1994
Stamford,CT,United States,41.0534,-73.5387
Staten Island,NY,United States,40.5795,-74.1502
Strasbourg,,France,48.5846,7.7507
Stuttgart,,Germany,48.7784,9.1800
Sydney,,Australia,-33.8698,151.2083
Tacoma,WA,United States,47.2529,-122.4443
Tallahassee,FL,United States,30.4383,-84.2807
Tampa,FL,United States,27.9506,-82.4572
Temple,TX,United States,31.0982,-97.3428
Tokyo,,Japan,35.6769,139.7639
Toulouse,,France,43.6045,1.4442
Trumbull,CT,United States,41.2426,-73.2007
Tuckerton,NJ,United States,39.6032,-74.3402
Tucson,AZ,United States,32.2226,-110.9747
Tukwila,WA,United States,47.4639,-122.2590
Tulare,CA,United States,36.2077,-119.3473
Tulsa,OK,United States,36.1540,-95.9928
Umatilla,OR,United States,45.9171,-119.3422
Utrecht,,Netherlands,52.0907,5.1216
Valparaiso,IN,United States,41.4731,-87.0611
Vienna,,Austria,48.2084,16.3725
Virginia Beach,VA,United States,36.8529,-75.9780
Waco,TX,United States,31.5493,-97.1467
Wall,NJ,United States,40.1654,-74.0665
Washington,DC,United States,38.9072,-77.0369
Weehawken,NJ,United States,40.7695,-74.0204
Wenatchee,WA,United States,47.4235,-120.3103
West Jordan,UT,United States,40.6097,-111.9391
Wichita,KS,United States,37.6872,-97.3301
Wichita Falls,TX,United States,33.9137,-98.4934
Wills Point,TX,United States,32.7099,-96.0086
Wilmington,DE,United States,39.7459,-75.5466
Windom,MN,United States,43.8655,-95.1169
Woodbridge,NJ,United States,40.5576,-74.2846
Yakima,WA,United States,46.6021,-120.5059
Youngstown,OH,United States,41.0998,-80.6495
Zurich,,Switzerland,47.3744,8.5410
