Name,Municipality,State,Country,Latitude,Longitude
Provider A,Columbus,OH,United States,39.9612,-82.9988
Provider B,Boardman,OR,United States,45.8396,-119.7006
Provider C,Columbus,OH,United States,39.9612,-82.9988
Provider D,Phoenix,AZ,United States,33.4484,-112.074
Provider E,Herndon,VA,United States,38.9696,-77.3861
Provider F,Denver,CO,United States,39.7392,-104.9903
Provider G,Manassas,VA,United States,38.7509,-77.4753
Provider H,San Antonio,TX,United States,29.4241,-98.4936
Provider I,Ashburn,VA,United States,39.0438,-77.4874
Provider J,Fort Worth,TX,United States,32.7555,-97.3308
