Municipality,State,Country,Latitude,Longitude
Phoenix,AZ,United States,33.4484,-112.0740
Aurora,CO,United States,39.7294,-104.8319
Denver,CO,United States,39.7392,-104.9903
Tampa,FL,United States,27.9506,-82.4572
Miami,FL,United States,25.7617,-80.1918
Jacksonville,FL,United States,30.3322,-81.6557
Atlanta,GA,United States,33.7490,-84.3880
Louisville,KY,United States,38.2527,-85.7585
Minneapolis,MN,United States,44.9778,-93.2650
Las Vegas,NV,United States,36.1699,-115.1398
Charlotte,NC,United States,35.2271,-80.8431
Raleigh,NC,United States,35.7796,-78.6382
Cincinnati,OH,United States,39.1031,-84.5120
Hillsboro,OR,United States,45.5229,-122.9898
Philadelphia,PA,United States,39.9526,-75.1652
Nashville,TN,United States,36.1627,-86.7816
Dallas,TX,United States,32.7767,-96.7970
Salt Lake City,UT,United States,40.7608,-111.8910
West Jordan,UT,United States,40.6097,-111.9391
Richmond,VA,United States,37.5407,-77.4360
