Municipality,State,Country,Latitude,Longitude
Avondale,AZ,United States,33.4356,-112.3496
Glendale,AZ,United States,33.5387,-112.1860
Phoenix,AZ,United States,33.4484,-112.0740
Sacramento,CA,United States,38.5816,-121.4944
Santa Clara,CA,United States,37.3541,-121.9552
Aurora,CO,United States,39.7294,-104.8319
Colorado Springs,CO,United States,38.8339,-104.8214
Miami,FL,United States,25.7617,-80.1918
Atlanta,GA,United States,33.7490,-84.3880
Augusta,GA,United States,33.4735,-82.0105
Blakely,GA,United States,31.3777,-84.9341
Fayetteville,GA,United States,33.4487,-84.4549
Suwanee,GA,United States,34.0515,-84.0713
Cedar Rapids,IA,United States,41.9779,-91.6656
Clinton,IA,United States,41.8444,-90.1887
Chicago,IL,United States,41.8781,-87.6298
East Windsor,NJ,United States,40.2676,-74.5404
Piscataway,NJ,United States,40.4993,-74.4435
New Albany,OH,United States,40.0814,-82.8088
Van Wert,OH,United States,40.8695,-84.5841
Hillsboro,OR,United States,45.5229,-122.9898
Salem Township,PA,United States,41.4015,-75.3624
Fort Mill,SC,United States,35.0074,-80.9451
Fort Worth,TX,United States,32.7555,-97.3308
Irving,TX,United States,32.8140,-96.9489
San Antonio,TX,United States,29.4241,-98.4936
Wilmer,TX,United States,32.5918,-96.6855
Eagle Mountain,UT,United States,40.3141,-112.0069
Ashburn,VA,United States,39.0438,-77.4874
Manassas,VA,United States,38.7509,-77.4753
Sandston,VA,United States,37.5246,-77.3219
Sterling,VA,United States,39.0067,-77.4291
