Name,Municipality,State,Country,Latitude,Longitude,ExemptFromDistanceConstraint
Barksdale AFB,Bossier City,LA,United States,32.5018,-93.6627,No
Dyess AFB,Abilene,TX,United States,32.4280,-99.8540,No
Ellsworth AFB,Rapid City,SD,United States,44.1450,-103.1040,No
F.E. Warren AFB,Cheyenne,WY,United States,41.1517,-104.8678,No
Kirtland AFB,Albuquerque,NM,United States,35.0500,-106.5590,No
Malmstrom AFB,Great Falls,MT,United States,47.5048,-111.1872,No
Minot AFB,Minot,ND,United States,48.4159,-101.3306,No
Offutt AFB,Omaha,NE,United States,41.1180,-95.9120,No
Vandenberg SFB,Lompoc,CA,United States,34.7420,-120.5724,No
Whiteman AFB,Knob Noster,MO,United States,38.7300,-93.5480,No
