Name,Municipality,State,Country,Latitude,Longitude,ExemptFromDistanceConstraint
Cannon AFB,Clovis,NM,United States,34.3828,-103.3222,No
Corpus Christi Army Depot,Corpus Christi,TX,United States,27.6936,-97.2911,No
Hurlburt Field,Mary Esther,FL,United States,30.4279,-86.6889,No
Joint Base Andrews,Camp Springs,MD,United States,38.8108,-76.867,No
Joint Base San Antonio,San Antonio,TX,United States,29.4595,-98.436,No
Maxwell AFB,Montgomery,AL,United States,32.379,-86.366,No
"Norfolk, VA",Norfolk,VA,United States,36.8508,-76.2859,No
Redstone Arsenal,Huntsville,AL,United States,34.6856,-86.6486,No
Robins AFB,Warner Robins,GA,United States,32.64,-83.5919,No
Tinker AFB,Midwest City,OK,United States,35.4147,-97.3866,No
Wright-Patterson AFB,Dayton,OH,United States,39.8261,-84.0488,No
