Name,Municipality,State,Country,Latitude,Longitude,ExemptFromDistanceConstraint
Altus AFB,Altus,OK,United States,34.6670,-99.2670,No
Arnold AFB,Tullahoma,TN,United States,35.3890,-86.0860,No
Barksdale AFB,Bossier City,LA,United States,32.5018,-93.6627,No
Beale AFB,Marysville,CA,United States,39.1360,-121.4360,No
Buckley SFB,Aurora,CO,United States,39.7020,-104.7520,No
Burlington ANGB,South Burlington,VT,United States,44.4719,-73.1533,No
Camp H.M. Smith,Halawa,HI,United States,21.3858,-157.9064,Yes
Cannon AFB,Clovis,NM,United States,34.3828,-103.3222,No
Cape Canaveral Space Force Station,Cape Canaveral,FL,United States,28.4889,-80.5778,No
Cavalier Space Force Station,Cavalier,ND,United States,48.7240,-97.9000,No
Cheyenne Mountain SFS,Colorado Springs,CO,United States,38.7440,-104.8460,No
Clear Space Force Station,Anderson,AK,United States,64.2900,-149.1900,Yes
Columbus AFB,Columbus,MS,United States,33.6440,-88.4440,No
Creech AFB,Indian Springs,NV,United States,36.5870,-115.6730,No
Davis-Monthan AFB,Tucson,AZ,United States,32.1665,-110.8830,No
Dover AFB,Dover,DE,United States,39.1290,-75.4660,No
Dyess AFB,Abilene,TX,United States,32.4280,-99.8540,No
Edwards AFB,Edwards,CA,United States,34.9054,-117.8837,No
Eglin AFB,Valparaiso,FL,United States,30.4832,-86.5254,No
Eielson AFB,Fairbanks,AK,United States,64.6657,-147.1015,Yes
Ellsworth AFB,Rapid City,SD,United States,44.1450,-103.1040,No
F.E. Warren AFB,Cheyenne,WY,United States,41.1517,-104.8678,No
Fairchild AFB,Spokane,WA,United States,47.6150,-117.6560,No
Goodfellow AFB,San Angelo,TX,United States,31.4340,-100.4030,No
Grand Forks AFB,Grand Forks,ND,United States,47.9610,-97.4010,No
Hanscom AFB,Bedford,MA,United States,42.4670,-71.2890,No
Hill AFB,Layton,UT,United States,41.1240,-111.9731,No
Holloman AFB,Alamogordo,NM,United States,32.8520,-106.1060,No
Hurlburt Field,Mary Esther,FL,United States,30.4279,-86.6889,No
Joint Base Anacostia-Bolling,Washington,DC,United States,38.8430,-77.0160,No
Joint Base Andrews,Camp Springs,MD,United States,38.8108,-76.8670,No
Joint Base Charleston,Charleston,SC,United States,32.8990,-80.0410,No
Joint Base Elmendorf-Richardson,Anchorage,AK,United States,61.2510,-149.8070,Yes
Joint Base Langley-Eustis,Hampton,VA,United States,37.0830,-76.3600,No
Joint Base Lewis-McChord,Tacoma,WA,United States,47.0858,-122.5828,No
Joint Base McGuire-Dix-Lakehurst,Trenton,NJ,United States,40.0160,-74.5920,No
Joint Base Pearl Harbor-Hickam,Honolulu,HI,United States,21.3360,-157.9470,Yes
Joint Base San Antonio,San Antonio,TX,United States,29.4595,-98.4360,No
Keesler AFB,Biloxi,MS,United States,30.4120,-88.9240,No
Kirtland AFB,Albuquerque,NM,United States,35.0500,-106.5590,No
Laughlin AFB,Del Rio,TX,United States,29.3590,-100.7780,No
Little Rock AFB,Jacksonville,AR,United States,34.9170,-92.1500,No
Los Angeles AFB,El Segundo,CA,United States,33.9160,-118.3810,No
Luke AFB,Glendale,AZ,United States,33.5350,-112.3830,No
MacDill AFB,Tampa,FL,United States,27.8490,-82.5210,No
Malmstrom AFB,Great Falls,MT,United States,47.5048,-111.1872,No
Maxwell AFB,Montgomery,AL,United States,32.3790,-86.3660,No
McConnell AFB,Wichita,KS,United States,37.6210,-97.2670,No
Minot AFB,Minot,ND,United States,48.4159,-101.3306,No
Moody AFB,Valdosta,GA,United States,30.9670,-83.1930,No
Mountain Home AFB,Mountain Home,ID,United States,43.0430,-115.8720,No
Nellis AFB,Las Vegas,NV,United States,36.2362,-115.0343,No
Offutt AFB,Omaha,NE,United States,41.1180,-95.9120,No
Osan Air Base,Pyeongtaek,,South Korea,37.0906,127.0297,Yes
Patch Barracks,Stuttgart,,Germany,48.7364,9.0811,Yes
Patrick SFB,Cocoa Beach,FL,United States,28.2350,-80.6100,No
Peterson SFB,Colorado Springs,CO,United States,38.8230,-104.7000,No
RAAF Base Tindal,Katherine,,Australia,-14.5211,132.3778,Yes
RAF Marham,Marham,,United Kingdom,52.6483,0.5506,Yes
Robins AFB,Warner Robins,GA,United States,32.6400,-83.5919,No
Schriever SFB,Colorado Springs,CO,United States,38.8030,-104.5260,No
Scott AFB,Belleville,IL,United States,38.5450,-89.8350,No
Seymour Johnson AFB,Goldsboro,NC,United States,35.3390,-77.9610,No
Shaw AFB,Sumter,SC,United States,33.9730,-80.4730,No
Sheppard AFB,Wichita Falls,TX,United States,33.9750,-98.4920,No
Tinker AFB,Midwest City,OK,United States,35.4147,-97.3866,No
Travis AFB,Fairfield,CA,United States,38.2627,-121.9270,No
Tyndall AFB,Panama City,FL,United States,30.0696,-85.5754,No
United States Air Force Academy,Colorado Springs,CO,United States,38.9980,-104.8610,No
Vance AFB,Enid,OK,United States,36.3390,-97.9160,No
Vandenberg SFB,Lompoc,CA,United States,34.7420,-120.5724,No
Whiteman AFB,Knob Noster,MO,United States,38.7300,-93.5480,No
Wright-Patterson AFB,Dayton,OH,United States,39.8261,-84.0488,No
Yokota Air Base,Fussa,,Japan,35.7486,139.3486,Yes
