Name,Municipality,State,Country,Latitude,Longitude,ExemptFromDistanceConstraint
Aberdeen Proving Ground,Aberdeen,MD,United States,39.4690,-76.1300,No
Altus AFB,Altus,OK,United States,34.6670,-99.2670,No
Anniston Army Depot,Anniston,AL,United States,33.6200,-85.9600,No
Arnold AFB,Tullahoma,TN,United States,35.3890,-86.0860,No
Barksdale AFB,Bossier City,LA,United States,32.5018,-93.6627,No
Beale AFB,Marysville,CA,United States,39.1360,-121.4360,No
Buckley SFB,Aurora,CO,United States,39.7020,-104.7520,No
Burlington ANGB,South Burlington,VT,United States,44.4719,-73.1533,No
Cannon AFB,Clovis,NM,United States,34.3828,-103.3222,No
Cape Canaveral Space Force Station,Cape Canaveral,FL,United States,28.4889,-80.5778,No
Cavalier Space Force Station,Cavalier,ND,United States,48.7240,-97.9000,No
Cheyenne Mountain SFS,Colorado Springs,CO,United States,38.7440,-104.8460,No
Clear Space Force Station,Anderson,AK,United States,64.2900,-149.1900,Yes
Columbus AFB,Columbus,MS,United States,33.6440,-88.4440,No
Creech AFB,Indian Springs,NV,United States,36.5870,-115.6730,No
Davis-Monthan AFB,Tucson,AZ,United States,32.1665,-110.8830,No
Dover AFB,Dover,DE,United States,39.1290,-75.4660,No
Dyess AFB,Abilene,TX,United States,32.4280,-99.8540,No
Edwards AFB,Edwards,CA,United States,34.9054,-117.8837,No
Eglin AFB,Valparaiso,FL,United States,30.4832,-86.5254,No
Eielson AFB,Fairbanks,AK,United States,64.6657,-147.1015,Yes
Ellsworth AFB,Rapid City,SD,United States,44.1450,-103.1040,No
F.E. Warren AFB,Cheyenne,WY,United States,41.1517,-104.8678,No
Fairchild AFB,Spokane,WA,United States,47.6150,-117.6560,No
Fort A.P. Hill,Bowling Green,VA,United States,38.0900,-77.2900,No
Fort Belvoir,Alexandria,VA,United States,38.7187,-77.1469,No
Fort Bliss,El Paso,TX,United States,31.8131,-106.4210,No
Fort Campbell,Clarksville,TN,United States,36.6672,-87.4639,No
Fort Carson,Colorado Springs,CO,United States,38.7375,-104.7889,No
Fort Cavazos,Killeen,TX,United States,31.1349,-97.7841,No
Fort Detrick,Frederick,MD,United States,39.4360,-77.4280,No
Fort Drum,Watertown,NY,United States,44.0509,-75.7591,No
Fort Eisenhower,Augusta,GA,United States,33.4204,-82.1402,No
Fort Greely,Delta Junction,AK,United States,63.8767,-145.7350,Yes
Fort Gregg-Adams,Petersburg,VA,United States,37.2436,-77.3344,No
Fort Hamilton,Brooklyn,NY,United States,40.6090,-74.0300,No
Fort Huachuca,Sierra Vista,AZ,United States,31.5500,-110.3450,No
Fort Irwin,Barstow,CA,United States,35.2611,-116.6847,No
Fort Jackson,Columbia,SC,United States,34.0298,-80.9170,No
Fort Johnson,Leesville,LA,United States,31.0497,-93.2044,No
Fort Knox,Radcliff,KY,United States,37.8915,-85.9636,No
Fort Leavenworth,Leavenworth,KS,United States,39.3556,-94.9152,No
Fort Leonard Wood,Waynesville,MO,United States,37.7531,-92.1296,No
Fort Liberty,Fayetteville,NC,United States,35.1410,-79.0060,No
Fort McCoy,Sparta,WI,United States,44.0370,-90.6760,No
Fort Meade,Odenton,MD,United States,39.1083,-76.7430,No
Fort Moore,Columbus,GA,United States,32.3539,-84.9692,No
Fort Novosel,Enterprise,AL,United States,31.3413,-85.7130,No
Fort Riley,Junction City,KS,United States,39.0858,-96.8047,No
Fort Shafter,Honolulu,HI,United States,21.3460,-157.8920,Yes
Fort Sill,Lawton,OK,United States,34.6590,-98.4029,No
Fort Stewart,Hinesville,GA,United States,31.8693,-81.6093,No
Fort Wainwright,Fairbanks,AK,United States,64.8278,-147.6400,Yes
Goodfellow AFB,San Angelo,TX,United States,31.4340,-100.4030,No
Grand Forks AFB,Grand Forks,ND,United States,47.9610,-97.4010,No
Hanscom AFB,Bedford,MA,United States,42.4670,-71.2890,No
Hill AFB,Layton,UT,United States,41.1240,-111.9731,No
Holloman AFB,Alamogordo,NM,United States,32.8520,-106.1060,No
Hurlburt Field,Mary Esther,FL,United States,30.4279,-86.6889,No
Joint Base Anacostia-Bolling,Washington,DC,United States,38.8430,-77.0160,No
